UPA,t1,t2,cultivo_estandar,t3,t4,t5,t6,t7,t8,t8_a,t9,t10,t10_a,t11,t12,t12_a,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t22_a,t23,t24,consideracion_produccion_mala,t25,t25_a,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,libras_cosechada,libras_vendida,sum_otros_destinos,condic_cultivo,categori_condicion_por_cultivo,superficie_total,num_cultivo,tipo_cultivo,cultivo_standar_copia
34,1,TOMATE RINON,Tomate rinon,Tomate rinon,Asociado,,Comun,No,0.5,Hectareas,1-Jul-14,0.5,Hectareas,1-Sep-14,, ,Si,Si,Guano,No, ,Si,Manual,No, ,50,Caneca/gaveta,FRUTA FRESCA,buena,0,0, ,10, ,,50,,,,, , ,500,0,50,Asociado,Asociado con transitorio,0,35,Campo abierto,Tomate rinon
35,1,PEPINO,Pepino,Pepinillo,Asociado,,Hibrida Nacional,No,0.5,Hectareas,1-Mar-14,0.5,Hectareas,1-Aug-14,, ,Si,Si,Guano,No, ,Si,Goteo,Si,Verde,10,Caneca/gaveta,FRUTA FRESCA,buena,0,0, ,40, ,,10,,,,, , ,400,0,10,Asociado,Cultivo sucesivo,0.5,36,Campo abierto,Pepino
35,1,MELON,Melon,Melon,Asociado,,Hibrida Nacional,No,0.5,Hectareas,1-Mar-14,0,Hectareas,,plagas, ,Si,Si,Guano,No, ,Si,Goteo,Si,Verde,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Asociado,Cultivo sucesivo,0,36,Campo abierto,Melon
35,1,SANDIA,Sandia,Sandia,Asociado,,Hibrida Nacional,No,0.5,Hectareas,1-Mar-14,0,Hectareas,,plagas, ,Si,Si,Guano,No, ,Si,Goteo,Si,Verde,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Asociado,Cultivo sucesivo,0,36,Campo abierto,Sandia
35,1,COL,Col,Col,Asociado,,Hibrida Nacional,No,0.5,Hectareas,1-Mar-14,0.5,Hectareas,1-Aug-14,, ,Si,Si,Guano,No, ,Si,Goteo,Si,Verde,1,Caneca/gaveta,REPOLLO,buena,0,0, ,30, ,,1,,,,, , ,30,0,1,Asociado,Cultivo sucesivo,0,36,Campo abierto,Col
35,1,HIERVITA,Hiervita,Cilantro,Asociado,,Hibrida Nacional,No,0.5,Hectareas,1-Mar-14,0.5,Hectareas,1-Aug-14,, ,Si,Si,Guano,No, ,Si,Goteo,Si,Verde,10,Libra,HOJA FRESCA,buena,0,0, ,1, ,,10,,,,, , ,10,0,10,Asociado,Cultivo sucesivo,0,36,Campo abierto,Hiervita
35,1,RABANO,Rabano,Rabano,Asociado,,Hibrida Nacional,No,0.5,Hectareas,1-Mar-14,0.5,Hectareas,1-Aug-14,, ,Si,Si,Guano,No, ,Si,Goteo,Si,Verde,1,Caneca/gaveta,RAIZ FRESCA,buena,0,0, ,40, ,,1,,,,, , ,40,0,1,Asociado,Cultivo sucesivo,0,36,Campo abierto,Rabano
35,1,YUCA,Yuca,Yuca,Asociado,,Hibrida Nacional,No,0.5,Hectareas,1-Mar-14,0.5,Hectareas,1-Aug-14,, ,Si,Si,Guano,No, ,Si,Goteo,Si,Verde,5,Caneca/gaveta,RAIZ FRESCA,buena,0,0, ,60, ,,5,,,,, , ,300,0,5,Asociado,Cultivo sucesivo,0,36,Campo abierto,Yuca
38,1,YUCA,Yuca,Yuca,Solo,,Comun,Si,0.275,Hectareas,1-Oct-13,0.275,Hectareas,1-Sep-14,, ,No,,,, ,No,,No, ,3,Saco,RAIZ FRESCA,buena,0,0, ,70, ,,3,,,,, , ,210,0,3,Solo,Solo,0.275,37,Campo abierto,Yuca
38,1,MAIZ DURO SECO,Maiz,Maiz duro seco,Solo,,Comun,Si,0.1,Hectareas,1-Jun-14,0.1,Hectareas,1-Aug-14,, ,No,,,, ,No,,Si,Azul,10,Saco,MAZORCA,buena,0,0, ,70, ,,2,8,,,, , ,700,0,10,Solo,Solo,0.1,38,Campo abierto,Maiz
38,1,FREJOL TIERNO,Frejol,Frejol tierno,Solo,,Comun,Si,0.075,Hectareas,1-Jul-14,0.075,Hectareas,1-Sep-14,, ,No,,,, ,No,,No, ,20,Saco,VAINA,buena,0,0, ,50, ,,20,,,,, , ,1000,0,20,Solo,Solo,0.075,39,Campo abierto,Frejol
38,1,PEPINO,Pepino,Pepinillo,Solo,,Comun,Si,0.075,Hectareas,1-Jul-14,0.075,Hectareas,1-Sep-14,, ,No,,,, ,No,,No, ,50,Caneca/gaveta,FRUTA FRESCA,buena,0,0, ,25, ,,50,,,,, , ,1250,0,50,Solo,Solo,0.075,40,Campo abierto,Pepino
38,2,YUCA,Yuca,Yuca,Solo,,Comun,Si,0.075,Hectareas,1-Oct-13,0.075,Hectareas,1-Sep-14,, ,No,,,, ,No,,No, ,8,Saco,RAIZ FRESCA,buena,0,0, ,70, ,,4,4,,,, , ,560,0,8,Solo,Solo,0.075,41,Campo abierto,Yuca
40,2,MAIZ DURO CHOCLO,Maiz,Maiz duro choclo,Asociado,,Mejorada,Si,0.5,Hectareas,1-Jul-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,No,,,, ,No,,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Asociado,Asociado con transitorio,0.5,42,Campo abierto,Maiz
40,2,YUCA,Yuca,Yuca,Asociado,,Mejorada,Si,0.5,Hectareas,1-May-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,No,,,, ,No,,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Asociado,Asociado con transitorio,0,42,Campo abierto,Yuca
40,2,VERDURA,Verdura,Otros transitorios,Asociado,,Comun,Si,0.5,Hectareas,1-Jun-14,0.5,Hectareas,1-Sep-14,, ,No,,,, ,No,,No, ,50,Libra,FRUTA FRESCA,buena,0,50,libra,1,FRUTA FRESCA,50,,,,,,consumidor final,San Cristobal,50,50,0,Asociado,Asociado con transitorio,0,42,Campo abierto,Verdura
41,1,MAIZ DURO SECO,Maiz,Maiz duro seco,Solo,,Comun,No,0.75,Hectareas,1-Jun-14,0.75,Hectareas,1-Aug-14,, ,Si,Si,Guano,Si,Potasicos,No,,No, ,8,Quintal,GRANO SECO,buena,0,0, ,100, ,,,8,,,, , ,800,0,8,Solo,Solo,0.75,43,Campo abierto,Maiz
41,1,NABO,Nabo,Nabo,Asociado,,Hibrida Intenacional,Si,0.03,Hectareas,1-Sep-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,Si,Si,Guano,No, ,No,,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Asociado,Asociado con transitorio,0.03,44,Campo abierto,Nabo
41,1,ARVEJA,Arveja,Arveja tierna,Asociado,,Comun,Si,0.03,Hectareas,1-Sep-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,Si,Si,Guano,No, ,No,,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Asociado,Asociado con transitorio,0,44,Campo abierto,Arveja
41,1,BROCOLI,Brocoli,Brocoli,Asociado,,Comun,Si,0.03,Hectareas,1-Sep-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,Si,Si,Guano,No, ,No,,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Asociado,Asociado con transitorio,0,44,Campo abierto,Brocoli
41,1,COLIFLOR,Coliflor,Coliflor,Asociado,,Comun,Si,0.03,Hectareas,1-Sep-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,Si,Si,Guano,No, ,No,,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Asociado,Asociado con transitorio,0,44,Campo abierto,Coliflor
